a1-0; средства индивидуальной защиты (СИЗ)
a2-1; дезинфицирующие средства
a2-2; антисептические средства
a3-2; сухие салфетки
a3-3; влажные салфетки
b1-2; туалетное мыло
b1-3; хозяйственное мыло
b1-9; зубная паста
b1-10; зубная щетка
b1-8; туалетная бумага
c1-7; гигиенические прокладки
c1-6; стиральный порошок
d1-5; спички
d1-5_1; свечи
e1-4; детские подгузники
e1-5; пеленка для новорожденного
f1-3; детский шампунь
f1-4; крем от опрелостей
g1-2; бутылочка для кормления
g1-3; соска-пустышка
z1-1; бензин
z1-2; дизельное топливо
z1-3; газомоторное топливо
a4-5; зоотовары